Date,ADS.DE,ALV.DE,BAS.DE,BAYN.DE,BEI.DE,BMW.DE,CBK.DE,CON.DE,DB1.DE,DBK.DE,DTE.DE,EOAN.DE,FME.DE,FRE.DE,HEI.DE,HEN3.DE,IFX.DE,LHA.DE,LIN.DE,LXS.DE,MRK.DE,MUV2.DE,RWE.DE,SAP.DE,SDF.DE,SIE.DE,TKA.DE,VOW3.DE,^GDAXI
2020-01-02,291.54998779296875,221.5,68.29000091552734,73.5199966430664,105.6500015258789,74.22000122070312,5.894999980926514,104.08888244628906,141.14999389648438,7.3470001220703125,14.609999656677246,9.593999862670898,65.83999633789062,49.918399810791016,65.45999908447266,91.16000366210938,20.684999465942383,11.904184341430664,190.0500030517578,60.79999923706055,106.0,265.8999938964844,26.959999084472656,122.0,11.199999809265137,106.94917297363281,12.260000228881836,180.5,13385.9296875
2020-01-03,291.95001220703125,219.0500030517578,67.2699966430664,72.58000183105469,105.6500015258789,73.31999969482422,5.789999961853027,101.92483520507812,139.39999389648438,7.25,14.61400032043457,9.505000114440918,65.5,49.688819885253906,63.720001220703125,91.22000122070312,20.389999389648438,11.126272201538086,185.3000030517578,59.619998931884766,107.25,262.6000061035156,26.84000015258789,120.45999908447266,11.039999961853027,104.89384460449219,12.210000038146973,176.63999938964844,13219.1396484375
2020-01-06,289.6499938964844,217.6999969482422,66.2699966430664,71.73999786376953,106.0,73.05000305175781,5.609000205993652,100.76233673095703,138.35000610351562,7.184999942779541,14.57800006866455,9.468000411987305,65.0199966430664,49.27458190917969,63.58000183105469,91.4800033569336,20.045000076293945,10.94785213470459,183.60000610351562,58.5,108.4000015258789,262.70001220703125,26.450000762939453,119.55999755859375,10.895000457763672,104.40705871582031,12.039999961853027,176.6199951171875,13126.990234375
2020-01-07,294.75,218.1999969482422,66.30000305175781,72.12999725341797,105.75,74.22000122070312,5.705999851226807,102.94426727294922,139.14999389648438,7.434000015258789,14.605999946594238,9.399999618530273,65.0999984741211,49.38438034057617,65.16000366210938,91.58000183105469,21.040000915527344,10.965694427490234,185.3000030517578,58.79999923706055,109.5,264.5,27.049999237060547,120.0999984741211,10.949999809265137,105.07413482666016,12.069999694824219,176.05999755859375,13226.830078125
2020-01-08,302.8500061035156,218.3000030517578,65.7300033569336,74.0,106.19999694824219,74.41000366210938,5.828000068664551,104.9294662475586,142.25,7.684999942779541,14.54800033569336,9.430999755859375,65.22000122070312,49.52911376953125,65.76000213623047,91.73999786376953,21.309999465942383,11.090587615966797,185.85000610351562,58.040000915527344,111.30000305175781,265.0,27.170000076293945,120.81999969482422,10.885000228881836,105.5068359375,12.100000381469727,176.82000732421875,13320.1796875
2020-01-09,310.0,220.6999969482422,66.30999755859375,74.72000122070312,107.1500015258789,74.36000061035156,5.85099983215332,107.41543579101562,144.10000610351562,7.716000080108643,14.850000381469727,9.458999633789062,66.4000015258789,50.22783279418945,65.4000015258789,93.04000091552734,21.6299991607666,11.533069610595703,188.4499969482422,57.880001068115234,112.55000305175781,268.70001220703125,27.5,123.16000366210938,10.4399995803833,106.73281860351562,12.149999618530273,181.72000122070312,13495.0595703125
2020-01-10,309.04998779296875,220.25,65.83000183105469,75.36000061035156,107.69999694824219,74.56999969482422,5.752999782562256,106.41389465332031,144.14999389648438,7.695000171661377,14.76200008392334,9.670000076293945,66.26000213623047,49.97829055786133,64.05999755859375,93.62000274658203,21.420000076293945,11.286849975585938,189.0,57.880001068115234,113.69999694824219,267.79998779296875,29.260000228881836,123.76000213623047,10.46500015258789,104.56932067871094,11.869999885559082,185.52000427246094,13483.3095703125
2020-01-13,309.1499938964844,219.64999389648438,65.79000091552734,74.7300033569336,107.30000305175781,73.62999725341797,5.672999858856201,103.64176940917969,143.25,7.579999923706055,14.652000427246094,9.711000442504883,66.30000305175781,49.47920608520508,64.08000183105469,93.0199966430664,21.655000686645508,11.062041282653809,189.6999969482422,57.20000076293945,113.4000015258789,267.6000061035156,29.31999969482422,123.76000213623047,10.300000190734863,104.35296630859375,12.145000457763672,185.27999877929688,13451.51953125
2020-01-14,313.25,218.85000610351562,64.76000213623047,74.54000091552734,107.0,73.30000305175781,5.683000087738037,105.17985534667969,143.35000610351562,7.752999782562256,14.640000343322754,9.755999565124512,67.23999786376953,48.04683303833008,63.31999969482422,93.12000274658203,21.34000015258789,10.940715789794922,190.5,56.97999954223633,115.0999984741211,267.5,29.18000030517578,123.5999984741211,10.364999771118164,104.92990112304688,12.005000114440918,185.22000122070312,13456.490234375
2020-01-15,316.04998779296875,217.1999969482422,64.3499984741211,75.31999969482422,107.0,72.19000244140625,5.459000110626221,104.84004211425781,144.5,7.570000171661377,14.680000305175781,9.932000160217285,67.27999877929688,48.32632064819336,62.900001525878906,93.18000030517578,21.170000076293945,10.933579444885254,189.8000030517578,55.84000015258789,116.05000305175781,267.3999938964844,29.420000076293945,123.0,10.145000457763672,104.3349380493164,11.90999984741211,182.6199951171875,13432.2998046875
2020-01-16,313.8999938964844,217.35000610351562,64.38999938964844,74.76000213623047,106.0,71.16999816894531,5.465000152587891,103.33773040771484,145.0,7.629000186920166,14.696000099182129,10.001999855041504,67.5,47.95200729370117,63.15999984741211,93.16000366210938,21.174999237060547,10.93714714050293,190.1999969482422,56.29999923706055,114.80000305175781,267.3999938964844,30.040000915527344,122.44000244140625,10.279999732971191,104.62340545654297,12.055000305175781,179.9199981689453,13429.4296875
