,600755.SH,600309.SH,600031.SH,600886.SH,000768.SZ,002594.SZ,000651.SZ,600138.SH,600177.SH,600276.SH,600519.SH,002714.SZ,600036.SH,601318.SH,000002.SZ,601138.SH,600111.SH,300413.SZ,002093.SZ
1073,8.22,38.04,12.07,7.87,15.7,48.25,52.94,12.63,9.47,62.16,890.0,63.35,34.21,79.0,26.7,13.68,13.13,41.0,8.07
1074,8.29,38.29,11.96,7.95,15.4,48.79,52.31,12.67,9.49,63.22,892.0,65.14,34.4,79.25,26.44,13.38,12.83,41.02,8.16
1075,8.26,38.23,11.97,7.78,15.12,48.51,52.5,12.54,9.34,62.03,875.3,64.36,34.03,77.97,26.3,13.08,12.39,39.8,8.98
1076,8.15,38.01,12.09,7.86,15.07,48.9,51.48,12.59,6.36,59.0,871.6,62.0,33.95,77.5,27.03,13.08,12.46,39.75,9.88
1077,8.23,37.81,11.95,7.81,14.94,49.37,52.35,12.48,6.29,57.98,862.13,58.01,33.9,77.11,27.12,12.83,12.82,38.24,9.9
1078,8.19,38.26,12.21,7.97,15.03,50.9,52.6,12.61,6.25,58.63,871.08,58.0,34.74,79.1,27.81,11.68,12.73,38.1,10.89
1079,8.3,40.1,12.92,8.09,15.46,51.55,53.04,12.93,6.35,60.12,910.89,61.58,35.42,81.7,28.33,12.1,13.71,39.07,10.98
1080,8.53,39.78,12.9,8.06,15.37,50.75,53.95,12.88,6.43,60.35,906.7,61.08,35.33,80.52,28.0,11.91,14.32,39.04,10.58
1081,8.5,39.58,12.95,8.02,15.32,50.22,52.78,12.87,6.36,61.3,910.0,62.0,35.25,80.49,27.83,11.94,13.99,38.86,10.26
1082,8.51,38.84,12.79,8.06,15.22,49.35,51.27,12.56,6.15,61.28,913.0,61.77,35.35,79.75,27.93,11.81,13.62,39.0,10.31
1083,8.38,38.66,12.75,7.9,15.15,49.1,51.16,12.72,6.23,61.6,911.6,60.38,35.6,79.92,27.91,11.69,13.8,38.0,10.9
1084,8.44,38.9,12.88,7.93,15.09,49.2,50.74,12.73,6.29,62.59,917.0,62.44,36.02,80.97,27.7,11.65,13.28,38.17,10.23
1085,8.43,39.9,12.9,8.01,15.27,49.6,51.03,12.88,6.33,64.38,932.01,61.95,36.8,83.54,27.73,11.84,13.13,39.18,10.12
1086,8.52,41.54,13.18,8.15,15.5,50.29,52.11,12.98,6.39,65.51,975.0,61.35,38.38,88.5,28.45,11.95,12.94,40.0,9.72
1087,8.71,41.98,13.13,8.11,15.74,50.55,54.0,13.09,6.38,65.9,976.3,58.75,37.69,87.97,28.31,12.32,12.98,40.6,9.73
1088,8.76,42.96,13.18,8.04,15.8,50.76,53.31,13.08,6.37,66.06,987.1,59.79,37.96,88.21,28.13,12.24,13.2,40.96,9.61
1089,8.67,43.09,13.05,7.92,15.8,49.9,54.35,12.93,6.36,66.03,982.98,58.24,36.13,86.63,27.88,12.04,12.66,40.69,9.95
1090,8.51,42.45,12.95,7.92,15.92,50.03,54.1,12.86,6.34,66.5,979.86,58.0,35.47,86.4,27.79,12.11,12.5,40.76,9.49
1091,8.56,42.92,12.95,7.91,15.85,50.54,54.47,12.93,6.36,66.9,996.35,58.5,36.45,88.05,27.84,12.15,12.55,41.16,9.74
1092,8.65,42.79,13.08,7.77,15.75,50.72,54.99,12.69,6.35,66.0,984.0,58.79,35.98,88.61,27.81,12.05,12.84,41.05,9.29
1093,8.63,43.9,13.4,7.96,16.0,51.91,55.0,13.14,6.4,68.23,1031.86,61.31,36.9,91.84,28.62,13.26,12.59,41.8,9.53
1094,8.86,43.52,13.19,8.23,15.93,53.18,58.59,13.39,6.37,70.21,1025.0,63.39,36.52,91.06,28.86,13.3,12.49,41.01,9.36
1095,8.84,42.8,12.92,8.29,16.07,53.4,58.57,13.48,6.35,68.37,987.9,60.89,36.15,90.66,29.17,13.41,12.19,39.6,9.13
1096,8.87,42.86,12.86,8.26,16.34,53.24,57.33,13.35,6.37,66.11,981.2,58.97,36.08,89.9,29.55,13.26,12.22,38.5,9.09
1097,8.87,43.48,12.87,8.37,16.2,53.26,56.88,13.34,6.36,67.4,999.82,61.05,36.47,90.85,29.45,13.15,12.2,38.23,9.21
1098,8.86,41.87,12.7,8.14,15.65,52.32,58.1,12.94,6.29,66.5,984.86,62.93,35.56,88.59,29.15,12.68,11.61,36.74,8.7
1099,8.64,41.73,12.67,8.17,15.69,54.89,56.48,13.0,6.31,66.48,976.06,64.8,35.29,87.53,29.15,12.71,11.67,36.78,8.73
1100,8.64,41.44,12.48,8.21,15.73,53.9,55.99,12.9,6.29,67.41,982.52,64.65,35.12,87.88,29.17,12.73,11.39,36.65,8.69
1101,8.18,41.69,12.82,8.23,15.64,53.25,56.29,12.92,6.3,66.66,981.5,65.16,35.9,87.98,29.21,12.79,11.34,37.72,8.73
1102,8.13,42.1,13.13,8.32,15.79,54.26,56.0,12.92,6.31,66.45,986.09,65.23,35.4,88.75,29.65,12.77,11.29,38.86,8.78
1103,8.21,41.55,13.43,8.39,16.26,55.35,56.48,12.95,6.33,67.38,975.93,68.92,35.3,88.08,30.0,12.76,11.59,38.85,8.97
1104,8.35,41.45,13.42,8.25,16.22,54.78,55.88,13.0,6.33,66.06,968.0,68.33,35.31,86.95,30.06,12.66,11.72,38.8,9.13
1105,8.37,41.8,13.44,8.2,16.23,54.65,54.81,12.92,6.34,66.24,963.5,70.19,35.21,86.99,30.13,12.81,11.71,38.81,9.03
1106,8.33,40.81,13.71,8.17,15.91,53.45,54.53,12.65,6.33,66.02,947.5,70.49,35.32,86.73,30.09,12.36,11.94,37.75,8.67
1107,8.2,40.52,13.61,8.21,16.04,53.93,54.4,12.7,6.31,66.02,955.87,71.75,36.37,88.35,30.71,12.46,11.85,38.88,8.73
1108,8.23,40.28,13.71,8.26,15.62,54.9,54.2,12.52,6.28,66.54,957.02,70.65,36.37,87.68,31.1,12.25,11.04,37.65,8.32
1109,8.11,41.18,13.6,8.52,15.87,56.33,54.0,12.57,6.32,66.05,953.98,70.28,36.21,87.5,30.0,12.43,11.11,37.93,8.64
